Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,make,model
Maruti Wagon R LXI CNG,9,2010,72000,CNG,Manual,First,26.6,998,58.16,5.0,5.5,1.75,Maruti,Wagon
Maruti Ertiga VDI,2,2012,87000,Diesel,Manual,First,20.77,1248,88.76,7.0,11.3,6.0,Maruti,Ertiga
Maruti Ciaz Zeta,7,2018,25692,Petrol,Manual,First,21.56,1462,103.25,5.0,11.1,9.95,Maruti,Ciaz
Maruti Swift VDI BSIV,6,2015,64424,Diesel,Manual,First,25.2,1248,74.0,5.0,8,5.6,Maruti,Swift
Maruti Swift DDiS VDI,6,2017,25000,Diesel,Manual,First,28.4,1248,74.0,5.0,8,5.99,Maruti,Swift
Maruti Alto K10 2010-2014 VXI,5,2013,54000,Petrol,Manual,Second,20.92,998,67.1,5.0,4.45,2.75,Maruti,Alto
Maruti Wagon R LXI BSIII,6,2009,83816,Petrol,Manual,Second,14.0,1061,64.0,5.0,5.5,1.85,Maruti,Wagon
Maruti Alto LXi,4,2008,90000,Petrol,Manual,Second,19.7,796,46.3,5.0,4.45,1.25,Maruti,Alto
Maruti Swift LDI,4,2014,52000,Diesel,Manual,First,22.9,1248,74.0,5.0,8,4.25,Maruti,Swift
Maruti Swift Ldi BSIV,8,2014,53000,Diesel,Manual,First,17.8,1248,75.0,5.0,8,3.3,Maruti,Swift
Maruti Swift VDI,4,2013,65650,Diesel,Manual,First,28.4,1248,74.0,5.0,8,3.85,Maruti,Swift
Maruti Ertiga SHVS VDI,10,2016,63000,Diesel,Manual,First,24.52,1248,88.5,7.0,11.3,8.15,Maruti,Ertiga
Maruti Swift VDI,6,2012,95100,Diesel,Manual,First,22.9,1248,74.0,5.0,8,3.75,Maruti,Swift
Maruti Wagon R VXI BS IV,1,2016,62000,Petrol,Manual,First,18.9,998,67.1,5.0,5.5,4.45,Maruti,Wagon
Maruti Wagon R LXI BS IV,10,2011,43874,Petrol,Manual,First,18.9,998,67.1,5.0,5.5,2.45,Maruti,Wagon
Maruti Wagon R LXI CNG,10,2013,89900,CNG,Manual,First,26.6,998,58.16,5.0,5.5,3.25,Maruti,Wagon
Maruti Ciaz VXi Plus,7,2017,44285,Petrol,Manual,First,20.73,1373,91.1,5.0,11.1,7.47,Maruti,Ciaz
Maruti Alto K10 VXI,5,2014,88500,Petrol,Manual,First,24.07,998,67.1,5.0,4.45,2.6,Maruti,Alto
Maruti Alto LXi BSIII,2,2010,94385,Petrol,Manual,Second,19.7,796,46.3,5.0,4.45,1.6,Maruti,Alto
Maruti Swift VVT VXI,7,2016,34204,Petrol,Manual,First,22.0,1197,81.8,5.0,8,5.43,Maruti,Swift
Maruti Ciaz 1.4 Alpha,7,2018,41283,Petrol,Manual,First,20.73,1373,91.1,5.0,11.1,9.9,Maruti,Ciaz
Maruti Swift VDI,2,2016,35000,Diesel,Manual,First,22.9,1248,74.0,5.0,8,6.25,Maruti,Swift
Maruti Swift VXI Optional,0,2017,24005,Petrol,Manual,First,20.4,1197,81.8,5.0,8,6.2,Maruti,Swift
Maruti Ertiga ZDI,9,2016,33000,Diesel,Manual,First,25.47,1248,88.5,7.0,11.3,8.5,Maruti,Ertiga
Maruti Wagon R AMT VXI,9,2016,8500,Petrol,Automatic,First,20.51,998,67.0,5.0,5.5,4.22,Maruti,Wagon
Maruti Wagon R LXI,2,2004,61000,Petrol,Manual,Second,18.9,998,67.1,5.0,5.5,1.25,Maruti,Wagon
Maruti Swift VDI BSIV,4,2013,47000,Diesel,Manual,First,17.8,1248,67.1,5.0,8,4.1,Maruti,Swift
Maruti Swift ZDi,5,2016,64000,Diesel,Manual,First,22.9,1248,74.0,5.0,8,6.8,Maruti,Swift
Maruti Ertiga VDI,2,2013,52000,Diesel,Manual,First,20.77,1248,88.76,7.0,11.3,6.9,Maruti,Ertiga
Maruti Ciaz 1.3 Alpha,2,2016,34000,Diesel,Manual,First,28.09,1248,88.5,5.0,11.1,8.45,Maruti,Ciaz
Maruti Swift VXI BSIV,3,2017,27872,Petrol,Manual,Second,20.4,1197,81.8,5.0,8,5.95,Maruti,Swift
Maruti Swift VDI,10,2012,120000,Diesel,Manual,First,22.9,1248,74.0,5.0,8,3.75,Maruti,Swift
Maruti Swift VDI,5,2018,31025,Diesel,Manual,First,28.4,1248,74.0,5.0,8,7.15,Maruti,Swift
Maruti Swift Dzire ZDI,6,2012,73000,Diesel,Manual,First,23.4,1248,74.0,5.0,8,4.35,Maruti,Swift
Maruti Alto 800 LXI,7,2016,32227,Petrol,Manual,First,22.74,796,47.3,5.0,4.45,3.26,Maruti,Alto
Maruti Wagon R LXI Minor,4,2009,60000,Petrol,Manual,First,18.9,1061,67.0,5.0,5.5,1.35,Maruti,Wagon
Maruti Swift VDI BSIV,8,2011,60020,Diesel,Manual,First,17.8,1248,67.0,5.0,8,2.5,Maruti,Swift
Maruti Wagon R LXI BS IV,4,2012,65000,Petrol,Manual,First,18.9,998,67.1,5.0,5.5,2.65,Maruti,Wagon
Maruti Ertiga Paseo VXI,9,2018,18000,Petrol,Manual,First,16.02,1373,93.7,7.0,11.3,8.25,Maruti,Ertiga
Maruti Swift Dzire VDi,8,2012,48000,Diesel,Manual,First,19.3,1248,73.9,5.0,8,3.7,Maruti,Swift
Maruti Swift VDI BSIV,5,2015,76496,Diesel,Manual,First,25.2,1248,74.0,5.0,8,6.15,Maruti,Swift
Maruti Alto LXi,0,2009,35000,Petrol,Manual,First,19.7,796,46.3,5.0,4.45,1.5,Maruti,Alto
Maruti Alto LXi,2,2006,56000,Petrol,Manual,Second,19.7,796,46.3,5.0,4.45,1.4,Maruti,Alto
Maruti Alto LXi,10,2012,38000,Petrol,Manual,First,19.7,796,46.3,5.0,4.45,2.25,Maruti,Alto
Maruti Alto K10 VXI,10,2017,30000,Petrol,Manual,First,24.07,998,67.1,5.0,4.45,3.75,Maruti,Alto
Maruti Swift LDI,4,2013,70000,Diesel,Manual,First,22.9,1248,74.0,5.0,8,3.5,Maruti,Swift
Maruti Swift Dzire VXi AT,9,2016,18000,Petrol,Automatic,First,18.5,1197,83.14,5.0,8,6.2,Maruti,Swift
Maruti Swift Dzire Tour LDI,9,2015,130000,Diesel,Manual,First,23.4,1248,74.0,5.0,8,3.25,Maruti,Swift
Maruti Alto 800 2016-2019 LXI,8,2018,26200,Petrol,Manual,First,24.7,796,47.3,5.0,4.45,2.9,Maruti,Alto
Maruti Alto VXi,1,2011,11000,Petrol,Manual,Third,18.9,796,47.0,5.0,4.45,2.9,Maruti,Alto
Maruti Wagon R VXI BS IV,8,2014,17400,Petrol,Manual,First,20.51,998,67.04,5.0,5.5,3.1,Maruti,Wagon
Maruti Alto LX,6,2010,125000,Petrol,Manual,First,19.7,796,46.3,5.0,4.45,0.92,Maruti,Alto
Maruti Wagon R LXI BSIII,10,2013,53000,Petrol,Manual,First,14.0,1061,64.0,5.0,5.5,2.75,Maruti,Wagon
Maruti Alto 800 LXI,7,2016,34267,Petrol,Manual,First,22.74,796,47.3,5.0,4.45,3.74,Maruti,Alto
Maruti Wagon R LXI BSII,0,2007,55100,Petrol,Manual,First,18.9,998,67.1,5.0,5.5,1.45,Maruti,Wagon
Maruti Ciaz 1.3 S,3,2017,25142,Diesel,Manual,First,28.09,1248,88.5,5.0,11.1,8.26,Maruti,Ciaz
Maruti Ertiga VXI,6,2014,98000,Petrol,Manual,First,16.02,1373,93.7,7.0,11.3,5.5,Maruti,Ertiga
Maruti Wagon R VXI,0,2011,75000,Petrol,Manual,First,18.9,998,67.1,5.0,5.5,2.6,Maruti,Wagon
Maruti Swift Vdi BSIII,5,2010,86000,Diesel,Manual,Second,17.8,1248,75.0,5.0,8,3.6,Maruti,Swift
Maruti Wagon R LXI,0,2012,30000,Petrol,Manual,First,22.5,998,67.04,5.0,5.5,3.3,Maruti,Wagon
Maruti Swift VXI,7,2019,20667,Petrol,Manual,First,22.0,1197,81.8,5.0,8,6.37,Maruti,Swift
Maruti Swift VXI Optional,7,2017,31696,Petrol,Manual,First,20.4,1197,81.8,5.0,8,5.75,Maruti,Swift
Maruti Ertiga ZXI,9,2014,13361,Petrol,Manual,First,16.02,1373,93.7,7.0,11.3,6.8,Maruti,Ertiga
Maruti Ertiga VXI,6,2014,47399,Petrol,Manual,First,16.02,1373,93.7,7.0,11.3,5.6,Maruti,Ertiga
Maruti Swift Dzire LDi,5,2011,130002,Diesel,Manual,First,19.3,1248,73.9,5.0,8,3.85,Maruti,Swift
Maruti Ciaz RS ZDi Plus SHVS,4,2016,41000,Diesel,Manual,First,28.09,1248,88.5,5.0,11.1,9.5,Maruti,Ciaz
Maruti Swift Dzire VXi,10,2010,109200,Petrol,Manual,Second,17.5,1298,85.8,5.0,8,2.2,Maruti,Swift
Maruti Ertiga ZDI,10,2013,105000,Diesel,Manual,Second,25.47,1248,88.5,7.0,11.3,6.75,Maruti,Ertiga
Maruti Swift Dzire VDI,3,2016,38461,Diesel,Manual,First,26.59,1248,74.0,5.0,8,7.39,Maruti,Swift
Maruti Swift ZXI,2,2013,49000,Petrol,Manual,First,18.6,1197,85.8,5.0,8,4.45,Maruti,Swift
Maruti Swift VDI,2,2014,35000,Diesel,Manual,First,22.9,1248,74.0,5.0,8,5.25,Maruti,Swift
Maruti Ertiga VDI,8,2013,53073,Diesel,Manual,First,20.77,1248,88.76,7.0,11.3,5.95,Maruti,Ertiga
Maruti Swift Dzire VDi,5,2011,81759,Diesel,Manual,First,19.3,1248,73.9,5.0,8,4.39,Maruti,Swift
Maruti Swift LDI Optional,7,2018,52010,Diesel,Manual,First,25.2,1248,74.0,5.0,8,6.2,Maruti,Swift
Maruti Ciaz ZDi Plus SHVS,6,2017,36381,Diesel,Manual,First,28.09,1248,88.5,5.0,11.1,9.75,Maruti,Ciaz
Maruti Alto K10 VXI,1,2011,64357,Petrol,Manual,First,24.07,998,67.1,5.0,4.45,2.75,Maruti,Alto
Maruti Ciaz ZXi,10,2014,49500,Petrol,Manual,First,20.73,1373,91.1,5.0,11.1,6.0,Maruti,Ciaz
Maruti Ertiga ZDI,5,2015,59000,Diesel,Manual,First,20.77,1248,88.8,7.0,11.3,7.5,Maruti,Ertiga
Maruti Swift Dzire VDI,6,2015,60000,Diesel,Manual,First,26.59,1248,74.0,5.0,8,6.25,Maruti,Swift
Maruti Ciaz VDI SHVS,7,2017,41217,Diesel,Manual,First,28.09,1248,88.5,5.0,11.1,7.4,Maruti,Ciaz
Maruti Alto K10 VXI AGS,5,2017,25058,Petrol,Automatic,First,24.07,998,67.1,5.0,4.45,3.95,Maruti,Alto
Maruti Swift Dzire ZXi,10,2008,64000,Petrol,Manual,Second,17.5,1298,85.8,5.0,8,2.85,Maruti,Swift
Maruti Alto 800 LXI,7,2017,54250,Petrol,Manual,First,22.74,796,47.3,5.0,4.45,3.51,Maruti,Alto
Maruti Wagon R LXI BS IV,7,2015,43828,Petrol,Manual,First,20.51,998,67.04,5.0,5.5,3.52,Maruti,Wagon
Maruti Swift Dzire VXI,9,2015,19000,Petrol,Manual,First,20.85,1197,83.14,5.0,8,5.25,Maruti,Swift
Maruti Swift LDI SP Limited Edition,5,2016,54631,Diesel,Manual,First,25.2,1248,74.0,5.0,8,6.25,Maruti,Swift
Maruti Swift VDI BSIV,1,2007,60000,Diesel,Manual,Second,17.8,1248,74.0,5.0,8,3.4,Maruti,Swift
Maruti Ertiga VDI,0,2017,63939,Diesel,Manual,First,25.47,1248,88.5,7.0,11.3,7.75,Maruti,Ertiga
Maruti Swift VDI BSIV,4,2015,63000,Diesel,Manual,First,25.2,1248,74.0,5.0,8,4.9,Maruti,Swift
Maruti Alto LXi BSIII,5,2012,67147,Petrol,Manual,First,19.7,796,46.3,5.0,4.45,2.6,Maruti,Alto
Maruti Swift VXI BSIV,3,2016,37806,Petrol,Manual,First,20.4,1197,81.8,5.0,8,5.2,Maruti,Swift
Maruti Wagon R VXI BS IV,1,2010,81245,Petrol,Manual,First,18.9,998,67.1,5.0,5.5,2.45,Maruti,Wagon
Maruti Wagon R VXI,3,2015,72599,Petrol,Manual,First,22.5,998,67.04,5.0,5.5,4.32,Maruti,Wagon
Maruti Ertiga ZXI,1,2013,68000,Petrol,Manual,Second,16.02,1373,93.7,7.0,11.3,6.25,Maruti,Ertiga
Maruti Swift Dzire VDI,10,2013,88000,Diesel,Manual,First,23.4,1248,74.0,5.0,8,4.75,Maruti,Swift
Maruti Ertiga ZDI,7,2013,39929,Diesel,Manual,First,20.77,1248,88.8,7.0,11.3,6.56,Maruti,Ertiga
Maruti Alto K10 LXI,10,2014,49000,Petrol,Manual,First,24.07,998,67.1,5.0,4.45,2.3,Maruti,Alto
Maruti Wagon R LXI BS IV,8,2014,40000,Petrol,Manual,First,20.51,998,67.04,5.0,5.5,2.49,Maruti,Wagon
Maruti Alto 800 LXI,5,2014,58500,Petrol,Manual,First,22.74,796,47.3,5.0,4.45,2.75,Maruti,Alto
Maruti Wagon R LXI Optional,8,2014,25000,Petrol,Manual,First,20.51,998,67.04,5.0,5.5,2.75,Maruti,Wagon
Maruti Swift ZXI,3,2014,33372,Petrol,Manual,Second,18.6,1197,85.8,5.0,8,6.21,Maruti,Swift
Maruti Alto Green LXi (CNG),4,2012,65537,CNG,Manual,First,26.83,796,38.4,5.0,4.45,2.1,Maruti,Alto
Maruti Ertiga ZDI,9,2014,64000,Diesel,Manual,First,20.77,1248,88.8,7.0,11.3,7.25,Maruti,Ertiga
Maruti Swift DDiS ZDI Plus,5,2018,5456,Diesel,Manual,First,28.4,1248,74.0,5.0,8,8.65,Maruti,Swift
Maruti Wagon R LXI,0,2015,51530,Petrol,Manual,First,18.9,998,67.1,5.0,5.5,3.2,Maruti,Wagon
Maruti Swift Dzire ZDI,1,2014,25789,Diesel,Manual,Second,23.4,1248,74.0,5.0,8,6.85,Maruti,Swift
Maruti Swift ZDI,4,2012,52000,Diesel,Manual,First,28.4,1248,74.0,5.0,8,3.55,Maruti,Swift
Maruti Ertiga VDI,3,2016,85827,Diesel,Manual,First,20.77,1248,88.76,7.0,11.3,7.5,Maruti,Ertiga
Maruti Swift Dzire Vdi BSIV,9,2008,91000,Diesel,Manual,Second,19.3,1248,73.9,5.0,8,2.85,Maruti,Swift
Maruti Swift Dzire VXI,1,2013,38623,Petrol,Manual,First,19.1,1197,85.8,5.0,8,5.0,Maruti,Swift
Maruti Swift ZDi,3,2014,59923,Diesel,Manual,First,22.9,1248,74.0,5.0,8,6.46,Maruti,Swift
Maruti Swift Dzire VDi,5,2010,130000,Diesel,Manual,First,19.3,1248,73.9,5.0,8,3.65,Maruti,Swift
Maruti Ciaz 1.4 Delta,0,2017,6006,Petrol,Manual,First,20.73,1373,91.1,5.0,11.1,8.25,Maruti,Ciaz
Maruti Wagon R LXI LPG BSIV,5,2012,72000,LPG,Manual,First,26.2,998,58.2,5.0,5.5,2.85,Maruti,Wagon
Maruti Ciaz ZDi SHVS,0,2016,56000,Diesel,Manual,First,28.09,1248,88.5,5.0,11.1,7.5,Maruti,Ciaz
Maruti Swift Dzire Tour LDI,6,2014,96000,Diesel,Manual,First,23.4,1248,74.0,5.0,8,4.8,Maruti,Swift
Maruti Alto 800 VXI,8,2016,26000,Petrol,Manual,First,22.74,796,47.3,5.0,4.45,2.6,Maruti,Alto
Maruti Swift Dzire VXi,8,2008,47000,Petrol,Manual,Second,17.5,1298,85.8,5.0,8,1.4,Maruti,Swift
Maruti Wagon R LXI,4,2007,65000,Petrol,Manual,Second,18.9,998,67.1,5.0,5.5,1.25,Maruti,Wagon
Maruti Wagon R VXI BS IV,10,2014,51000,Petrol,Manual,First,20.51,998,67.04,5.0,5.5,3.1,Maruti,Wagon
Maruti Alto K10 2010-2014 VXI,2,2011,91211,Petrol,Manual,First,20.92,998,67.1,5.0,4.45,2.1,Maruti,Alto
Maruti Wagon R LXI DUO BSIII,9,2008,64226,LPG,Manual,First,17.3,1061,57.5,5.0,5.5,1.45,Maruti,Wagon
Maruti Ciaz 1.3 Alpha,4,2017,26322,Diesel,Manual,First,28.09,1248,88.5,5.0,11.1,8.9,Maruti,Ciaz
Maruti Swift VXI BSIV,9,2016,9107,Petrol,Manual,First,20.4,1197,81.8,5.0,8,5.15,Maruti,Swift
Maruti Wagon R VXI Minor,2,2010,134000,Petrol,Manual,Second,18.9,1061,67.0,5.0,5.5,1.65,Maruti,Wagon
Maruti Swift Dzire AMT ZDI,3,2017,24852,Diesel,Automatic,First,26.59,1248,74.0,5.0,8,8.08,Maruti,Swift
Maruti Wagon R LXI Minor,2,2008,55000,Petrol,Manual,Second,18.9,1061,67.0,5.0,5.5,1.75,Maruti,Wagon
Maruti Swift ZDi,5,2014,81000,Diesel,Manual,First,25.2,1248,74.0,5.0,8,6.1,Maruti,Swift
Maruti Swift Dzire VDI Optional,7,2019,18592,Diesel,Manual,First,26.59,1248,74.0,5.0,8,8.51,Maruti,Swift
Maruti Swift VDI,8,2012,82000,Diesel,Manual,Second,22.9,1248,74.0,5.0,8,2.5,Maruti,Swift
Maruti Swift VXI,3,2013,61110,Petrol,Manual,First,18.6,1197,85.8,5.0,8,4.57,Maruti,Swift
Maruti Swift Dzire LDI,4,2014,68462,Diesel,Manual,First,26.59,1248,74.0,5.0,8,4.15,Maruti,Swift
Maruti Wagon R VXI,4,2016,22000,Petrol,Manual,First,18.9,998,67.1,5.0,5.5,3.7,Maruti,Wagon
Maruti Swift Dzire VDI,8,2014,45000,Diesel,Manual,First,23.4,1248,74.0,5.0,8,3.85,Maruti,Swift
Maruti Ertiga VDI,10,2016,130000,Diesel,Manual,First,25.47,1248,88.5,7.0,11.3,7.0,Maruti,Ertiga
Maruti Ertiga ZDI,0,2013,67443,Diesel,Manual,First,20.77,1248,88.8,7.0,11.3,5.75,Maruti,Ertiga
Maruti Alto LXi BSIII,5,2009,35000,Petrol,Manual,First,19.7,796,46.3,5.0,4.45,1.7,Maruti,Alto
Maruti Swift ZDi,10,2016,58000,Diesel,Manual,First,22.9,1248,74.0,5.0,8,7.55,Maruti,Swift
Maruti Alto K10 VXI AGS,10,2015,73204,Petrol,Automatic,First,24.07,998,67.1,5.0,4.45,3.3,Maruti,Alto
Maruti Wagon R VXI,8,2015,14000,Petrol,Manual,First,18.9,998,67.1,5.0,5.5,2.8,Maruti,Wagon
Maruti Wagon R VXI,3,2008,53934,Petrol,Manual,Second,18.9,998,67.1,5.0,5.5,2.69,Maruti,Wagon
Maruti Alto 800 2016-2019 LXI,9,2016,24000,Petrol,Manual,First,24.7,796,47.3,5.0,4.45,2.8,Maruti,Alto
Maruti Swift LXI,10,2013,32953,Petrol,Manual,First,18.6,1197,85.8,5.0,8,4.65,Maruti,Swift
Maruti Swift VDi BSIII W/ ABS,10,2015,79000,Diesel,Manual,First,17.8,1248,75.0,5.0,8,5.75,Maruti,Swift
Maruti Swift Dzire VDI,8,2014,57000,Diesel,Manual,First,26.59,1248,74.0,5.0,8,3.89,Maruti,Swift
Maruti Ciaz VDi Plus SHVS,6,2017,38282,Diesel,Manual,First,28.09,1248,88.5,5.0,11.1,8.5,Maruti,Ciaz
Maruti Swift VDI BSIV,1,2013,23000,Diesel,Manual,First,17.8,1248,88.5,5.0,8,5.6,Maruti,Swift
Maruti Wagon R VXI BSIII,2,2013,79000,Petrol,Manual,First,18.9,998,67.1,5.0,5.5,3.0,Maruti,Wagon
Maruti Swift VXi BSIV,4,2016,42000,Petrol,Manual,First,16.1,1197,85.0,5.0,8,4.75,Maruti,Swift
Maruti Swift Dzire AMT ZDI,6,2016,54897,Diesel,Automatic,First,26.59,1248,74.0,5.0,8,7.3,Maruti,Swift
Maruti Swift VXI BSIII,0,2008,65000,Petrol,Manual,First,16.1,1298,88.2,5.0,8,2.71,Maruti,Swift
Maruti Swift Dzire VXi,9,2011,58075,Petrol,Manual,First,17.5,1298,85.8,5.0,8,2.95,Maruti,Swift
Maruti Swift ZDi,5,2015,58000,Diesel,Manual,First,25.2,1248,74.0,5.0,8,5.95,Maruti,Swift
Maruti Wagon R LXI BS IV,8,2012,35503,Petrol,Manual,First,18.9,998,67.1,5.0,5.5,2.3,Maruti,Wagon
Maruti Swift VDI BSIV,6,2016,41460,Diesel,Manual,First,25.2,1248,74.0,5.0,8,5.9,Maruti,Swift
Maruti Alto 800 VXI,10,2014,32000,Petrol,Manual,Second,22.74,796,47.3,5.0,4.45,2.1,Maruti,Alto
Maruti Alto 800 LXI,8,2013,56840,Petrol,Manual,First,22.74,796,47.3,5.0,4.45,1.55,Maruti,Alto
Maruti Ertiga VDI,9,2016,54000,Diesel,Manual,First,20.77,1248,88.76,7.0,11.3,7.75,Maruti,Ertiga
Maruti Wagon R LXI CNG,10,2015,70000,CNG,Manual,First,26.2,998,58.2,5.0,5.5,3.65,Maruti,Wagon
Maruti Swift VDI,7,2017,34613,Diesel,Manual,First,28.4,1248,74.0,5.0,8,6.24,Maruti,Swift
Maruti Ertiga VDI Limited Edition,2,2015,153000,Diesel,Manual,First,20.77,1248,88.76,7.0,11.3,4.8,Maruti,Ertiga
Maruti Swift VXi BSIV,2,2014,54000,Petrol,Manual,Second,16.1,1197,85.0,5.0,8,4.5,Maruti,Swift
Maruti Swift ZDi,5,2016,55746,Diesel,Manual,First,22.9,1248,74.0,5.0,8,6.95,Maruti,Swift
Maruti Alto K10 2010-2014 VXI,5,2012,46004,Petrol,Manual,First,20.92,998,67.1,5.0,4.45,2.4,Maruti,Alto
Maruti Alto 800 2016-2019 CNG LXI,9,2018,10600,CNG,Manual,First,33.44,796,40.3,4.0,4.45,3.5,Maruti,Alto
Maruti Wagon R LXI Minor,6,2006,65000,Petrol,Manual,First,18.9,1061,67.0,5.0,5.5,1.5,Maruti,Wagon
Maruti Ciaz 1.4 AT Alpha,4,2017,32000,Petrol,Automatic,First,19.12,1373,91.1,5.0,11.1,9.2,Maruti,Ciaz
Maruti Swift Lxi BSIII,6,2015,78000,Petrol,Manual,First,16.1,1298,88.2,5.0,8,4.5,Maruti,Swift
Maruti Swift LDI,9,2015,14000,Diesel,Manual,First,28.4,1248,74.0,5.0,8,5.25,Maruti,Swift
Maruti Swift VDI BSIV,4,2014,57319,Diesel,Manual,First,25.2,1248,74.0,5.0,8,4.25,Maruti,Swift
Maruti Swift Dzire ZXi,3,2013,59254,Petrol,Manual,Second,17.5,1298,85.8,5.0,8,5.29,Maruti,Swift
Maruti Swift Dzire VXI,3,2014,47674,Petrol,Manual,First,19.1,1197,85.8,5.0,8,5.72,Maruti,Swift
Maruti Wagon R CNG LXI,10,2013,79494,CNG,Manual,First,33.54,998,67.04,5.0,5.5,2.96,Maruti,Wagon
Maruti Ciaz ZDi Plus SHVS,6,2015,40500,Diesel,Manual,First,28.09,1248,88.5,5.0,11.1,7.1,Maruti,Ciaz
Maruti Swift Dzire VDI Optional,10,2016,23000,Diesel,Manual,First,26.59,1248,74.0,5.0,8,7.05,Maruti,Swift
Maruti Ciaz VXi Plus,7,2015,44620,Petrol,Manual,First,20.73,1373,91.1,5.0,11.1,6.93,Maruti,Ciaz
Maruti Wagon R LXI CNG,9,2014,40000,CNG,Manual,Second,26.6,998,58.16,5.0,5.5,3.15,Maruti,Wagon
Maruti Alto LXi,3,2012,49008,Petrol,Manual,First,19.7,796,46.3,5.0,4.45,2.88,Maruti,Alto
Maruti Alto 800 2016-2019 LXI,8,2016,31000,Petrol,Manual,First,24.7,796,47.3,5.0,4.45,2.15,Maruti,Alto
Maruti Alto 800 2016-2019 VXI,9,2019,171,Petrol,Manual,First,24.7,796,47.3,5.0,4.45,3.6,Maruti,Alto
Maruti Wagon R VXI BS IV,6,2013,62700,Petrol,Manual,Second,20.51,998,67.04,5.0,5.5,2.85,Maruti,Wagon
Maruti Wagon R LXI Minor,10,2009,120000,Petrol,Manual,First,18.9,998,67.1,5.0,5.5,1.69,Maruti,Wagon
Maruti Swift VDI BSIV,10,2013,37000,Diesel,Manual,First,17.8,1248,67.1,5.0,8,4.85,Maruti,Swift
Maruti Alto LXi,3,2010,48105,Petrol,Manual,First,19.7,796,46.3,5.0,4.45,3.1,Maruti,Alto
Maruti Ertiga ZDI,8,2013,70000,Diesel,Manual,First,20.77,1248,88.8,7.0,11.3,5.45,Maruti,Ertiga
Maruti Swift Dzire Tour LDI,8,2017,148000,Diesel,Manual,First,23.4,1248,74.0,5.0,8,4.75,Maruti,Swift
Maruti Swift Dzire VDI,4,2015,76128,Diesel,Manual,First,26.59,1248,74.0,5.0,8,5.5,Maruti,Swift
Maruti Alto K10 VXI,5,2016,10000,Petrol,Manual,First,24.07,998,67.1,5.0,4.45,3.5,Maruti,Alto
Maruti Swift Dzire VXi,2,2012,49000,Petrol,Manual,First,17.5,1298,85.8,5.0,8,4.9,Maruti,Swift
Maruti Swift Dzire Tour LDI,4,2014,71800,Diesel,Manual,First,23.4,1248,74.0,5.0,8,2.9,Maruti,Swift
Maruti Ciaz ZDi SHVS,2,2014,45000,Diesel,Manual,First,28.09,1248,88.5,5.0,11.1,6.85,Maruti,Ciaz
